"","MSFT.Adjusted","AAPL.Adjusted","AMZN.Adjusted","GOOG.Adjusted","BRK.B.Adjusted","JPM.Adjusted","JNJ.Adjusted","WMT.Adjusted","XOM.Adjusted","V.Adjusted","PG.Adjusted","BAC.Adjusted","MA.Adjusted","T.Adjusted","HD.Adjusted","VZ.Adjusted","DIS.Adjusted","CVX.Adjusted","INTC.Adjusted","KO.Adjusted","UNH.Adjusted","WFC.Adjusted","BA.Adjusted","CSCO.Adjusted","CMCSA.Adjusted","MRK.Adjusted","PFE.Adjusted","PEP.Adjusted","ORCL.Adjusted","C.Adjusted"
"299",17.311388,17.982502,87.559998,221.330399,58.400002,26.904186,41.007225,39.605,52.191452,14.121797,38.220787,10.702748,15.820276,13.742639,18.710754,16.492973,21.613146,47.356983,11.513292,16.203787,23.302519,18.966673,40.210873,15.494734,5.799798,18.119722,9.845417,40.22139,18.159529,31.930952
"300",17.241016,17.880575,86.360001,218.565765,58.639999,27.558289,40.78727,39.403381,52.33448,14.227793,38.19202,10.883238,15.658939,13.653112,19.012661,16.509895,21.942329,47.500351,11.513292,16.18412,22.399647,19.480736,40.348328,15.494734,5.898448,18.022417,9.70971,39.686371,18.299826,31.561802
"301",17.264473,17.740116,87.080002,216.996643,59.560001,27.457058,40.838577,39.248264,52.298733,13.989311,37.667358,10.883238,15.867455,13.546801,19.024384,16.588833,21.942329,47.916775,11.874887,16.089071,22.339455,19.687897,39.981735,15.658493,5.919001,17.876461,9.587575,39.195328,18.40505,31.469521
"302",17.631969,17.433088,86.589996,215.492279,58.5,27.130007,40.809254,38.821754,52.813698,14.11976,37.430191,10.811042,16.378817,13.585973,19.055639,16.650858,21.743082,47.937267,11.903816,15.866206,22.124491,19.112453,39.943554,15.557116,5.873786,17.7861,9.533293,39.10738,18.185837,32.115524
"303",17.850901,17.395803,85.690002,213.699005,59.299999,27.207865,41.0952,38.247871,52.963913,13.599977,37.379879,11.704439,16.034452,13.871336,18.930628,16.774904,21.855703,49.084129,11.824265,16.196264,20.679907,19.196856,38.691021,15.674088,5.964215,18.203131,9.926837,38.821552,18.361206,32.115524
"304",18.241856,17.025387,84.080002,211.62677,59.470001,27.355833,41.102539,38.65115,52.770786,13.118921,37.76799,12.38126,15.761785,13.994442,18.86812,16.870764,21.708433,49.609814,11.795339,16.299618,20.817488,19.549786,39.286739,15.525922,5.898448,18.126677,10.015049,39.319908,18.282291,32.023235
"305",18.312225,16.916012,83.18,207.606842,58.580002,26.475889,40.142067,37.580948,52.077003,13.133194,36.891171,12.029314,15.706118,13.781809,18.633738,16.763628,21.006765,48.524364,11.55668,16.03957,20.215578,18.958998,37.820362,15.097034,5.680597,17.348223,9.587575,38.755589,17.729876,31.100384
"306",18.335686,16.948322,82.150002,207.223282,58.220001,26.086536,40.046749,37.418102,51.233017,12.731634,36.007156,11.487859,15.431561,13.552394,18.125906,16.6565,20.34841,47.705151,11.469898,15.946221,20.65411,18.721149,37.293377,14.878682,5.561395,16.979856,9.607936,38.359821,17.265144,29.992941
"307",18.515516,16.852612,82.650002,206.80484,57.48,25.486942,40.472,37.658493,51.082813,12.505377,35.942463,11.099816,15.497611,13.507629,18.477478,16.791821,20.513002,46.988346,11.672394,15.979561,20.65411,17.716042,37.079544,14.972265,5.697038,17.216169,9.892914,38.821552,17.484362,28.424091
"308",18.374781,16.8899,81.599998,206.256897,56.580002,26.608271,40.904575,37.751556,51.09713,12.517609,36.776173,11.641272,15.415525,13.502034,18.243097,16.966623,20.547647,46.715267,11.477134,16.519655,21.883728,18.184069,37.392681,14.808505,5.701149,17.827806,10.123613,39.935558,17.756174,28.885515
"309",18.820459,17.337379,82.959999,209.260635,56.099998,27.254593,41.124538,37.356049,50.818165,12.509453,36.39526,11.930047,15.223053,13.451674,18.375916,16.724155,20.38306,46.462681,11.578378,16.272945,21.866529,18.560026,36.995529,14.753918,5.701149,18.008516,10.177893,39.510464,18.115692,29.254656
"310",18.202759,17.075111,79.150002,202.914429,55.599998,25.595955,40.68462,37.681747,49.237484,12.482951,36.337769,10.774945,14.791883,13.513225,18.16497,16.927147,19.629414,44.892536,11.339721,15.999565,21.118443,17.271025,35.819363,14.356215,5.598388,17.501141,10.035403,39.202656,17.510666,27.685799
"311",18.249672,16.657459,77.68,202.08255,55.23,26.141054,40.332691,37.495636,49.316147,12.774441,36.330578,11.036645,15.107948,13.798597,17.875883,17.209082,19.819992,45.029083,11.43374,15.936215,21.101244,17.577936,33.505222,14.480984,5.668267,17.452484,9.994691,38.850868,17.422977,27.778084
"312",18.351324,16.932167,79.269997,203.880798,55.880001,26.055391,40.662628,37.619705,48.958538,12.452375,36.330578,11.144939,15.195691,13.793,17.719635,17.366966,19.837317,44.865231,11.643466,15.836195,21.333406,17.777424,31.557709,14.512177,5.684707,17.688797,9.987909,38.880173,18.641802,28.054943
"313",18.601534,17.384619,82.199997,207.108704,56.040001,26.584913,41.256512,38.116043,49.981346,12.627678,37.142715,11.144939,15.499487,13.904913,18.414976,17.530483,20.400387,45.650303,11.795339,15.952888,21.488188,18.26079,32.481827,14.839697,5.902559,18.467247,10.401805,39.569103,18.966227,27.962652
"314",18.257492,17.705309,83.879997,211.865875,56.02,26.826311,41.498466,37.712772,49.387676,13.008849,37.193016,11.505907,15.936329,13.888129,18.446232,17.474098,20.296434,45.022247,11.780874,16.046238,21.299011,18.314503,31.985401,14.746119,5.845013,18.766108,10.306815,40.089447,18.624258,27.962652
"315",18.656267,17.646889,83.029999,211.278076,56.900002,26.94311,41.762417,37.813587,50.482021,12.837628,37.538006,11.902972,15.864624,14.111945,18.649366,17.68272,20.495674,45.657124,11.845959,16.099585,21.599966,18.820894,32.573479,14.808505,5.902559,19.356894,10.354308,40.192066,18.852243,27.870369
